Document ID,Original Width (W),Original Height (H),Aspect Ratio (W/H)
0000971160,762,1000,0.76
0000989556,762,1000,0.76
0000990274,762,1000,0.76
0000999294,762,1000,0.76
0001118259,771,1000,0.77
0001123541,762,1000,0.76
0001129658,754,1000,0.75
0001209043,762,1000,0.76
0001239897,762,1000,0.76
0001438955,762,1000,0.76
0001456787,762,1000,0.76
0001463282,762,1000,0.76
0001463448,762,1000,0.76
0001476912,762,1000,0.76
0001477983,754,1000,0.75
0001485288,762,1000,0.76
00040534,777,1000,0.78
00070353,766,1000,0.77
00093726,779,1000,0.78
0011505151,771,1000,0.77
0011838621,762,1000,0.76
0011845203,762,1000,0.76
0011856542,762,1000,0.76
0011859695,762,1000,0.76
0011899960,762,1000,0.76
0011906503,762,1000,0.76
0011973451,771,1000,0.77
0011974919,754,1000,0.75
0011976929,762,1000,0.76
0012178355,762,1000,0.76
0012199830,771,1000,0.77
0012529284,771,1000,0.77
0012529295,771,1000,0.77
0012602424,780,1000,0.78
0012947358,762,1000,0.76
0013255595,762,1000,0.76
00283813,784,1000,0.78
0030031163,758,1000,0.76
0030041455,772,1000,0.77
0060000813,762,1000,0.76
0060007216,762,1000,0.76
0060024314,762,1000,0.76
0060025670,762,1000,0.76
0060029036,795,1000,0.8
0060036622,762,1000,0.76
0060068489,762,1000,0.76
0060077689,762,1000,0.76
0060080406,762,1000,0.76
0060091229,762,1000,0.76
0060094595,776,1000,0.78
0060136394,762,1000,0.76
0060165115,754,1000,0.75
0060173256,762,1000,0.76
0060207528,762,1000,0.76
0060214859,780,1000,0.78
0060255888,762,1000,0.76
0060262650,762,1000,0.76
0060270727,762,1000,0.76
0060302201,762,1000,0.76
0060308251,762,1000,0.76
0060308461,762,1000,0.76
0071032790,762,1000,0.76
0071032807,762,1000,0.76
00836244,786,1000,0.79
00836816,754,1000,0.75
00837285,773,1000,0.77
00838511_00838525,773,1000,0.77
00851772_1780,754,1000,0.75
00851879,777,1000,0.78
00860012_00860014,773,1000,0.77
00865872,754,1000,0.75
00866042,764,1000,0.76
00920222,754,1000,0.75
00920294,754,1000,0.75
00922237,766,1000,0.77
01073843,778,1000,0.78
01122115,766,1000,0.77
01150773_01150774,754,1000,0.75
01191071_1072,754,1000,0.75
01197604,775,1000,0.78
01408099_01408101,772,1000,0.77
11508234,762,1000,0.76
11875011,762,1000,0.76
12052385,773,1000,0.77
12603270,762,1000,0.76
12825369,762,1000,0.76
13149651,762,1000,0.76
660978,762,1000,0.76
71108371,762,1000,0.76
71190280,762,1000,0.76
71202511,762,1000,0.76
71206427,762,1000,0.76
71341634,762,1000,0.76
71366499,762,1000,0.76
71563825,762,1000,0.76
71601299,762,1000,0.76
716552,762,1000,0.76
80310840a,754,1000,0.75
80707440_7443,754,1000,0.75
80718412_8413,754,1000,0.75
80728670,778,1000,0.78
81186212,781,1000,0.78
81310636,772,1000,0.77
81574683,773,1000,0.77
81619486_9488,754,1000,0.75
81619511_9513,754,1000,0.75
81749056_9057,754,1000,0.75
82254638,754,1000,0.75
87533049,754,1000,0.75
87672097,776,1000,0.78
87682908,754,1000,0.75
88057519,777,1000,0.78
88547278_88547279,757,1000,0.76
89368010,774,1000,0.77
89386032,778,1000,0.78
89817999_8002,754,1000,0.75
89867723,802,1000,0.8
91104867,784,1000,0.78
91161344_91161347,803,1000,0.8
91315069_91315070,775,1000,0.78
91355841,802,1000,0.8
91356315,802,1000,0.8
91361993,781,1000,0.78
91372360,814,1000,0.81
91391286,804,1000,0.8
91391310,803,1000,0.8
91581919,783,1000,0.78
91856041_6049,754,1000,0.75
91903177,754,1000,0.75
91914407,802,1000,0.8
91939637,754,1000,0.75
91974562,754,1000,0.75
92039708_9710,754,1000,0.75
92081358_1359,802,1000,0.8
92091873,754,1000,0.75
92094746,754,1000,0.75
92094751,754,1000,0.75
92298125,754,1000,0.75
92314414,863,1000,0.86
92327794,782,1000,0.78
92433599_92433601,780,1000,0.78
92586242,754,1000,0.75
92657311_7313,802,1000,0.8
92657391,802,1000,0.8
93213298,754,1000,0.75
93329540,779,1000,0.78
93351929_93351931,779,1000,0.78
93380187,754,1000,0.75
93455715,777,1000,0.78
